Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Brown County, Indiana",6372,291,4.6,1.7,3.5,1.5,10.3,3.2,8.6,2.1,11.5,3,15.6,2.9,15.1,3.8,19.4,2.9,6.2,2.1,5.3,1.7,66833,8585,83210,6587
"Carroll County, Indiana",8123,222,3.1,1.2,2.5,0.9,11.1,2.2,15.4,3.4,12.8,2.3,20.2,2.5,12.2,2,14.8,2.5,5,1.4,3,1,56159,4720,72343,4324
"Cass County, Indiana",14950,269,5.3,1.1,5.3,1.2,13.3,1.8,11.8,1.8,15.7,2,18.5,1.9,14.3,1.7,11.5,1.9,3.2,0.7,1.1,0.4,49020,1851,61065,3122
"Clark County, Indiana",45024,646,4.5,0.9,4,0.7,7.9,0.8,10.4,1.1,16,1.4,20.4,1.6,14.3,1.4,14.8,1.2,4.8,0.7,3,0.4,57111,1699,73060,2007
"Clay County, Indiana",10454,312,3.5,1.4,4.2,1.2,9.6,1.9,8.8,2,16.2,2,20.2,3.4,17.3,2.5,13.8,2.5,4.7,1.3,1.8,0.9,59398,4850,68896,3684
"Clinton County, Indiana",12144,237,3.5,1,4,1.2,11.8,1.9,12.6,2.1,14.3,2.1,21.1,2.5,16.4,2.4,12.1,1.5,2.9,0.8,1.4,0.7,53750,2737,63812,2268
"Crawford County, Indiana",4117,177,9.5,2.5,6.2,2.3,11.2,2.4,13.9,3.8,14.8,2.8,24.7,4.6,9.2,2,7,2.1,2,1.2,1.5,1.1,41761,4081,55768,6613
"Daviess County, Indiana",11354,226,5.7,1.7,6.1,1.6,10.4,2.1,10,2.1,13.1,1.9,21.2,2.4,11.1,2.4,15.3,2.4,5,1.2,2.1,0.7,53800,1962,67874,4059
"Dearborn County, Indiana",19279,288,5.5,1.4,3.9,1,8.3,1.6,7.8,1.2,10,1.9,18.3,2,16.2,2.3,19.1,2.1,6.1,1.2,4.9,1,70779,2104,82030,2378
"Decatur County, Indiana",10241,256,4.9,1.9,4.7,1.8,6.6,1.3,10.1,2.4,14,2.4,22.9,3.5,14.1,2.2,15.8,2.4,3.8,1.2,3,1.3,60794,3064,71232,3201
"DeKalb County, Indiana",16904,245,4.1,0.8,3.3,0.9,8.4,1.8,11,1.9,15.1,2,21.5,2.3,16,2.1,13.7,1.7,4.1,0.8,2.9,0.8,58415,3797,72218,3648
"Delaware County, Indiana",46632,657,10.3,1,5.7,0.8,12.7,1.2,11.5,1,13.3,1.4,18.4,1.4,12.1,1.2,10.8,1,2.3,0.5,2.9,0.6,45910,1849,60910,2226
"Dubois County, Indiana",16691,351,5.4,1.2,4.7,1.7,6.1,1.6,9.8,1.8,12.1,1.6,21.4,2.7,15,2.4,17.1,2.6,5.6,1.6,2.8,0.9,62846,3886,77342,5019
"Elkhart County, Indiana",72362,763,5.6,0.8,3.4,0.5,10,1,9.2,0.8,14.1,1.1,20.4,1.1,14.2,1,14.9,1,4.6,0.7,3.5,0.4,58509,1505,73647,1727
"Fayette County, Indiana",9686,263,7,1.8,5.1,1.3,13.2,2.7,12.4,2.2,13.9,2.6,19.5,2.6,14.8,2.3,11.4,2.1,1.7,0.8,1,0.8,47465,4132,56677,2680
"Floyd County, Indiana",29264,430,4.1,0.9,4.4,0.7,8.3,1.1,7.5,0.8,12,1.1,19.8,1.7,14.6,1.4,15.6,1.4,7.2,0.8,6.4,0.9,67603,2575,87585,3118
"Fountain County, Indiana",6982,204,4.5,1.9,6.3,1.4,11.2,2,11,1.9,14.4,2.1,23.1,2.7,14.4,2.2,10.8,2.1,2.2,0.8,2.1,0.8,52334,2548,63964,3720
"Franklin County, Indiana",8867,226,4,1.3,2.3,1,10.1,2.4,10,2.4,8.6,1.8,19.3,2.9,18.7,3.7,17.5,2.8,5.6,1.6,4,1.3,68180,3574,80781,5380
"Fulton County, Indiana",7840,276,6.3,1.7,4.8,1.6,9.7,2.1,12.4,2.7,16.1,2.5,18.2,3,13.9,2.5,12.9,2.7,4.5,2.1,1.2,0.7,50597,2794,65162,4642
"Gibson County, Indiana",13551,297,3.9,1,4.6,1,9.9,1.6,9.8,1.6,16.3,2,20.2,2,12.8,1.9,15,1.6,5.2,1.2,2.3,0.8,56638,4341,69885,3043
"Grant County, Indiana",26896,533,7.1,1.2,5.7,1.1,12.1,1.2,11.7,1.2,16.2,1.7,18.7,1.5,10.5,1.3,14,1.4,2.5,0.6,1.5,0.6,46900,2256,59841,2268
"Greene County, Indiana",12988,271,5.7,1.3,5,1.2,13.4,1.8,10.7,1.6,13.3,1.8,22.4,2.3,13.6,1.9,10.8,1.7,2.9,0.9,2.3,0.8,51777,2674,62475,2973
"Hamilton County, Indiana",123066,846,2.3,0.4,1.1,0.2,3.9,0.5,5.2,0.6,8,0.7,17.4,1.1,12.7,0.8,20.2,1.5,13,1,16.2,1,98880,2956,130748,3324
"Hancock County, Indiana",29627,263,2.1,0.8,2.5,0.8,5.9,1,7.9,1.5,11.3,1.4,19.7,2,17,2,19.4,1.8,7.8,1.5,6.5,1.3,75647,2287,91428,4115
"Harrison County, Indiana",14534,437,4,1.5,3.7,1.3,9.6,2.3,10,1.8,13.4,2.4,21.1,2.3,16.2,2.4,13.9,1.9,5.5,1.4,2.6,0.8,59169,4182,73115,3959
"Hendricks County, Indiana",60307,501,2.5,0.6,1.5,0.4,4.1,0.8,5.9,0.8,10.6,1.1,18.3,1.5,17.2,1.6,23.2,1.3,9.7,1,6.9,0.8,84754,1762,102448,3539
"Henry County, Indiana",18387,392,5.5,1.2,3.8,0.9,12.2,1.9,11,1.5,16.1,1.9,21.4,1.9,13.4,1.5,11.9,1.4,3.2,0.9,1.6,0.6,51104,1891,64539,3275
"Howard County, Indiana",34632,475,5.3,0.8,4.7,1.1,10.2,1.2,10.6,1.3,13.7,1.4,20.2,1.8,13.1,1.4,14.7,1.5,4.3,0.8,3,0.8,56387,2334,69666,2142
"Huntington County, Indiana",14790,245,4.7,1.1,4,1.2,10.7,1.7,11.5,1.8,14.6,1.6,21.3,1.7,13.9,1.8,13.6,1.7,3.4,0.8,2.4,0.8,54286,2011,65648,2270
"Jackson County, Indiana",16923,362,6.5,1.4,3.7,1.1,8.7,1.4,12,2,14.9,1.8,20.1,2.1,12.4,1.7,14.1,2.4,4.5,1.1,3,0.9,55097,3087,68727,3132
"Jasper County, Indiana",12676,265,5.3,1.7,5,2.2,7.9,1.9,9,1.9,13.4,2.4,20.1,2.5,16.1,2.3,15.9,2.3,4.1,1,3.4,1.5,61889,4006,72967,4092
"Jay County, Indiana",8293,224,4.9,1.4,4.1,1.2,11.3,2.4,15.9,3.1,18.1,2.7,18.9,2.3,12.4,2,10.8,1.7,2.4,0.9,1.2,0.7,45864,2115,60411,5952
"Jefferson County, Indiana",12833,414,6.4,1.6,7.3,2.7,10.9,2,11,2.3,12.2,2.2,19.4,2.6,14.6,2.6,12,1.9,3.4,1.1,2.7,1,51981,3322,68188,7638
"Jennings County, Indiana",10776,292,4.7,1.4,3.9,1.4,7.7,1.9,7.9,1.8,14.7,2.4,22.8,3.3,16.8,2.9,16,3.3,3.6,1.6,1.7,0.9,61610,5229,71438,6518
"Johnson County, Indiana",57872,595,3.6,0.8,2.6,0.6,7.3,1.2,7.9,1,10.6,1.2,19.9,1.6,15.3,1.1,18.8,1.4,7.5,1,6.5,0.8,72928,1907,91534,3243
"Knox County, Indiana",15186,298,9,1.9,3,0.9,12.1,2.6,11,1.9,16.5,2.5,16.7,2.2,13,1.7,11,2,3.7,1.2,4.1,1.5,47394,3888,66219,4203
"Kosciusko County, Indiana",31462,486,4.1,1.2,2.4,0.4,9.3,1.2,9.2,1.2,14.8,1.5,20.9,1.7,15.3,1.5,15.6,1.5,4.7,1,3.9,0.9,62789,2254,77118,3234
"LaGrange County, Indiana",12547,334,3.4,1.1,2.7,1,6.7,1.4,7.4,1.6,13.8,1.7,23.1,2.6,19,2.3,14.8,1.9,5.1,1.5,3.9,0.9,69331,3343,79366,3594
"Lake County, Indiana",188646,1079,7.2,0.5,4.5,0.5,9.4,0.5,10.1,0.7,12.7,0.6,18.1,0.7,12.9,0.6,15.5,0.7,5.5,0.4,4.1,0.4,57530,1393,75475,1435
"LaPorte County, Indiana",42725,607,4.7,0.7,5.1,0.9,10.4,1.3,10.4,1,13.6,1.5,19.8,1.5,14,1,13.9,1.2,5.2,0.8,2.9,0.5,57010,2189,71180,1985
"Lawrence County, Indiana",18968,344,5.3,1.1,5.4,1.1,10.4,1.7,9.5,1.5,13.2,1.8,20.6,2.3,15.6,2.1,13.9,2.1,3.7,1.1,2.5,0.8,57740,2954,68487,3105
"Madison County, Indiana",51276,632,6.6,0.7,5.2,0.7,11.5,1,11.2,0.9,14.3,1.1,20.5,1.3,12.6,1.1,13.2,0.9,2.9,0.5,2.1,0.4,51476,1923,64278,1978
"Marion County, Indiana",377695,1868,8.3,0.4,4.4,0.3,10.1,0.4,10.9,0.4,15,0.5,18.4,0.6,11.4,0.4,12.4,0.5,4.4,0.2,4.6,0.3,51219,625,72263,1086
"Marshall County, Indiana",17430,335,5.6,1.2,3.8,0.8,9.3,1.5,10.9,1.7,15.6,1.8,19.9,2.3,14.8,1.8,14.5,1.3,3.6,0.9,2,0.5,54207,2347,68643,2843
"Martin County, Indiana",4095,159,5.1,2.1,5.4,1.9,9.6,2.6,8.1,2.3,16.4,3.4,21.5,3.3,15.5,3.7,13.9,3.1,3.1,1.5,1.3,0.8,55378,5555,64907,4434
"Miami County, Indiana",13531,302,5.9,1.4,4.2,1.1,12.5,2.1,9.9,1.6,16.9,2.1,20.8,2.5,13.1,1.7,11.7,1.8,2.7,0.9,2.3,0.8,50616,3214,62348,2603
"Monroe County, Indiana",56399,682,9.2,0.9,5.5,1.1,11.4,1.3,7.6,0.9,14.4,1.4,17.4,1.2,11.2,1,13.6,1.1,4.5,0.6,5.2,0.7,52229,2364,72416,2432
"Montgomery County, Indiana",15618,222,3.9,1,4.9,1.3,11.3,2,10.9,1.8,12.5,1.5,21.5,2.3,12.6,1.3,15,2,3.9,0.9,3.6,1.2,56408,2384,71008,4043
"Morgan County, Indiana",26460,364,4,0.8,3.4,0.8,6.1,1.1,8.7,1.6,12.8,1.5,20.1,1.7,16.1,1.9,18.1,1.9,5.9,0.9,4.9,1.1,67680,2778,82442,2589
"Newton County, Indiana",5599,157,5.4,2.1,3.6,1.3,7.1,1.7,12.3,2.4,13.9,2.5,23.9,3.6,15.3,3.1,12.9,2.8,2.4,1,3.2,1.8,57866,8124,67961,4416
"Noble County, Indiana",18133,345,3.3,0.9,3.6,1.1,9.5,1.8,9.5,1.3,15,1.6,24.9,2.4,14.2,1.5,14,1.6,3.8,1,2.3,0.7,58947,3102,70638,3314
"Ohio County, Indiana",2623,91,5.2,2.3,3,1.6,11.7,3.8,6.3,2.7,14.2,4,17.9,4.1,15.8,3.7,19.1,4.6,5.8,2.2,1.1,0.8,63649,6512,73309,7143
"Orange County, Indiana",7988,195,5.8,1.5,7.7,2,10.5,1.9,12.6,1.9,12,2.2,19.2,2.8,15.3,2.7,11.5,2.5,2.9,1,2.5,1.5,52164,4016,66255,7528
"Owen County, Indiana",8830,222,4.5,1.2,3.7,1.1,13.2,2.3,11.7,2.3,15.2,2.8,23.1,3,13.8,2.4,11,2.1,3,1.3,0.8,0.4,52204,4901,60381,3176
"Parke County, Indiana",6005,303,4.4,1.6,3.6,1.6,10.6,2.3,14.5,3.3,10.8,2.3,23.6,2.8,13.5,2.5,12.6,2.5,4.3,1.9,2.1,0.8,55853,4221,68149,4877
"Perry County, Indiana",7713,224,5.7,1.9,6,1.5,11.4,2.2,8.8,1.5,16.6,2.8,19,2.6,14.6,2,12.5,2.1,3.9,1.3,1.6,0.7,51496,2690,62555,2771
"Pike County, Indiana",5294,149,4.2,1.7,6.4,2.1,6.8,1.9,9.5,2.2,19.9,3.8,20.2,2.8,11.5,2.2,15.3,2.8,5.7,1.8,0.6,0.5,55022,4062,66128,3287
"Porter County, Indiana",65153,584,4.2,0.5,3.2,0.7,7.8,1,7.9,0.9,11.2,1.2,17.4,1.2,14.8,1.2,20,1.1,7,0.7,6.6,0.8,72255,2009,90814,2771
"Posey County, Indiana",10361,238,5.1,1.4,3.9,1.3,6.8,1.8,9.3,1.8,12.7,2,19.2,2.9,12.5,2,19.7,2.8,8.3,1.6,2.5,0.8,64983,3408,79147,3639
"Pulaski County, Indiana",5113,171,6.9,2.3,4.9,1.8,9.1,1.8,13.3,3.4,18,3.4,20.2,2.8,11.3,2.1,11.2,2.4,4.3,2,0.8,0.7,49140,1777,61468,4982
"Putnam County, Indiana",13651,248,4.1,1.3,2.7,0.8,9.9,2.2,9.9,2.2,12.9,1.9,22.7,2.7,16.2,2.2,14.8,2.2,4.9,1.5,2,0.7,61505,2856,69859,2667
"Randolph County, Indiana",10358,226,5.8,1.5,5.6,1.3,9.8,1.8,11.1,1.9,14.5,2,22.5,2.7,14.2,2.1,12.3,1.8,1.8,0.7,2.3,0.8,53322,2776,64298,2946
"Ripley County, Indiana",11243,249,6.4,1.6,4,1.1,8.7,1.6,9.4,1.6,13.5,1.8,19.2,2.4,13.9,2.3,16.7,2.1,4.7,1.3,3.6,1.4,60055,3892,77819,6327
"Rush County, Indiana",6648,192,4.4,1.5,6.1,1.7,7.7,2.1,11.2,2.8,12.2,2.7,21.9,3.2,17.4,2.5,14.8,3.3,2.3,1.1,2.1,0.9,56814,4159,67035,4068
"St. Joseph County, Indiana",104380,860,6.9,0.6,4.8,0.5,10.3,0.7,10.4,0.8,13.9,0.8,19.3,0.9,12.1,0.8,13.8,0.9,4.2,0.4,4.3,0.4,54433,1354,74857,2209
"Scott County, Indiana",9228,274,4.9,1.7,7.7,2.9,15.6,3.6,11.5,2.4,14.6,2.9,17.3,3.2,11.9,3.1,9.3,2,5.9,1.7,1.3,0.8,45123,3747,58901,3660
"Shelby County, Indiana",17902,293,4.6,1.2,3.4,1,10.1,1.8,9.2,1.6,13.3,1.7,22.5,1.9,15.2,2,12.8,1.7,5.3,1.6,3.5,0.9,59712,4156,72643,3500
"Spencer County, Indiana",8321,180,4.1,1.2,4.1,1.3,10.5,1.7,10.3,2.7,15.4,2.1,16.4,2,15.4,2.1,16.5,2.3,4.4,1.4,2.9,1.1,56919,3933,76685,8339
"Starke County, Indiana",8490,330,10.2,2.9,4.5,1.4,8.5,1.8,10.2,2,17,2.8,17.5,2.5,15.9,2.7,11.7,2.5,3,0.9,1.5,0.8,49705,3146,63495,5411
"Steuben County, Indiana",14449,371,2.8,0.9,4.2,1.1,8.9,1.5,8.1,1.6,16.7,2.4,21.7,2.3,14.4,1.9,15.6,1.9,4.3,1.1,3.2,0.7,58905,3009,75138,3020
"Sullivan County, Indiana",7806,252,5.7,1.8,4.7,1.8,14.8,2.5,9.8,2.2,15.4,2.9,20.5,3.1,12.6,2.9,11.4,2.1,3.3,1,1.7,0.7,49449,3722,63692,3933
"Switzerland County, Indiana",4430,184,8.1,3.1,7.5,2.8,8.7,2.4,10.8,3.4,14.2,3.1,20.4,4.2,14.6,4.2,9.8,2.8,3.2,1.8,2.7,1.7,51270,7001,64466,6050
"Tippecanoe County, Indiana",71686,1015,9.1,1.1,4.4,0.8,12,1.2,10.2,0.9,12.7,1.2,17.7,0.9,11.3,0.9,13.5,1.1,4.8,0.6,4.3,0.5,51926,1516,71428,1897
"Tipton County, Indiana",6360,203,1.2,0.6,5.6,1.9,5.7,1.8,10.8,2.3,14.3,2.7,16.4,3,18.4,2.9,19.5,4.1,5,1.9,3,1.4,68707,6821,79240,4813
"Union County, Indiana",2848,110,3.5,1.9,1.2,1,6.9,2.5,13.6,3.1,16,4,21.6,4.7,15.6,4.3,16.5,4.1,1.8,1.4,3.3,2.2,55278,5524,71685,6050
"Vanderburgh County, Indiana",76094,730,6.5,0.7,5.2,0.6,11.1,0.8,11.8,0.9,14.2,0.9,18.6,1.2,13.4,1,11.5,1,4.5,0.7,3.3,0.4,51179,1286,70100,2059
"Vermillion County, Indiana",6557,222,7.4,2.1,5.2,1.7,7.6,1.7,11.1,2.9,16,2.7,18.1,2.6,18.5,3.7,12.1,2.2,2.4,0.8,1.5,0.8,54361,6182,63822,3981
"Vigo County, Indiana",42657,606,8.3,1.1,6.1,1.1,12.2,1.4,11.5,1.1,14.4,1.4,19.2,1.5,11.3,1,10.3,1,3.8,0.6,3.1,0.5,47261,1906,63672,2059
"Wabash County, Indiana",12705,350,5.6,1.5,5.2,1.3,9.4,1.5,10,1.6,14.4,1.9,22.1,2.4,15.7,1.8,12.1,2.1,3.8,1.4,1.7,0.6,56573,3670,65607,3277
"Warren County, Indiana",3383,126,4.5,1.9,2.7,1.1,7.2,1.9,9.2,2.5,12.9,2.9,19.3,3.7,17.4,3.7,20.4,4.2,3.1,1.4,3.3,1.5,65614,7023,83245,11550
"Warrick County, Indiana",24607,419,2.4,0.7,2.7,0.8,6.9,1.2,7.3,1.2,11.7,1.3,16.7,1.7,17.8,1.8,20.6,1.9,6,1,8,1.1,79079,2620,101983,4896
"Washington County, Indiana",10820,269,6.6,1.7,5.3,1.4,10,2,14.4,3,13.1,2.2,19.6,2.4,11.6,1.8,14.6,2.5,2.9,1.2,1.8,0.9,50459,2912,63350,3435
"Wayne County, Indiana",27435,429,6.5,1.2,5.9,1,12.4,1.5,12.4,1.2,15.6,1.7,19.2,1.8,11.5,1.4,11.3,1.1,2.8,0.7,2.4,0.6,47756,2027,63284,2575
"Wells County, Indiana",11122,219,3.5,0.9,3.9,1.4,9.6,1.8,9.3,1.9,17.4,2.7,19.4,2.8,14.3,2,15.4,1.7,4.4,1.1,2.7,1,57565,4876,71174,3239
"White County, Indiana",9792,305,3.2,1,4.3,1.4,10.7,1.9,12,2.6,15.3,2.4,21.4,2.8,13.6,1.6,13.7,2.5,3.7,1.3,2,0.9,53865,3813,67958,4288
"Whitley County, Indiana",13822,313,2.8,0.9,2.9,1,7.4,1.4,9.1,1.6,16.5,2.6,21.7,2.7,16.1,2.2,15,2.3,5,1.2,3.6,0.9,64992,3875,78374,4232
"Adair County, Iowa",3217,121,6.8,2.2,2.6,0.9,9.9,2.4,11.3,2.4,14.7,3.1,17.9,2.7,16.8,2.9,15,2.3,3.5,1.9,1.3,0.7,55700,2833,67284,4876
"Adams County, Iowa",1627,93,5.3,1.7,5.2,2.2,8.4,2.4,14.1,5,14.8,3.7,22.9,4.6,13.5,3.5,9.7,2.8,3.3,1.4,2.8,1.7,52287,6210,65547,5417
"Allamakee County, Iowa",5947,207,4.5,1.3,4.7,1.7,10.7,2.1,11.2,2.8,13.9,2.2,20.6,3.4,13.5,2.2,15,2.5,1.7,0.7,4,1.7,55523,2267,67558,3725
"Appanoose County, Iowa",5196,214,9.1,2.5,7,1.8,12.6,2.5,14.2,2.8,15.6,2.7,17.4,3.1,11.5,2.2,7.2,1.6,3.4,1.3,1.8,0.9,39693,2931,59641,7257
"Audubon County, Iowa",2691,99,3,1,6.4,2.5,11.3,2.7,10.8,2.7,19.5,3.2,21.9,3.1,12.7,3,10.4,2.4,1.8,0.9,2.2,1.1,49245,3343,60690,3656
"Benton County, Iowa",10306,218,3.4,0.9,5.3,1.7,6.8,1.1,9.3,1.7,11.7,1.4,19.6,2,15.8,1.8,19.2,2.1,5.1,1,3.7,1,66046,3853,78258,2912
"Black Hawk County, Iowa",53321,508,6.6,0.7,4.4,0.6,9.5,0.9,11,0.8,13.8,1.4,19.2,1.2,12.4,0.7,13.9,0.9,4.6,0.8,4.5,0.6,54774,1703,75772,2407
"Boone County, Iowa",10801,272,2.8,0.8,3.4,1,7.5,1.4,10.7,2.2,12.4,1.8,19,2.5,15.7,2.3,19.7,2,4.3,1.1,4.4,1.3,67442,3324,81792,3571
"Bremer County, Iowa",9680,195,3.2,0.9,2.7,1,6.7,1.1,7.4,1.5,11.3,1.7,20.3,2.1,17,2.1,21.4,2.1,6.7,1.2,3.2,0.8,72209,2872,83876,3693
"Buchanan County, Iowa",8027,214,3,1,3.2,1,10.8,2.2,8.7,1.5,12.1,2.3,17.3,2.1,18.4,2.2,17.2,1.8,5.5,1.4,3.9,1.3,67252,3997,84523,10251
"Buena Vista County, Iowa",7584,147,3.8,1.5,3.3,1.1,10.5,2.7,9.8,2.3,19.5,3.5,19.6,2.2,12.5,1.9,11.7,1.8,6.7,1.6,2.5,0.7,54014,4120,69954,3141
"Butler County, Iowa",6153,126,5.7,1.2,4.1,1,8.9,1.6,9,1.6,15.5,2.4,20.1,2.2,16.2,1.8,13.8,1.7,3.9,1.1,2.6,0.7,56473,2472,70729,3943
"Calhoun County, Iowa",4103,189,6,1.4,4.9,1,9.6,1.8,12.4,2.1,14.3,2.3,16.7,1.9,15.5,1.9,13.6,2.5,2.6,0.9,4.5,1.4,55285,3469,69448,3472
"Carroll County, Iowa",8651,257,5.6,1.4,4.2,1.2,8.1,1.6,10.8,2.3,14.7,2.3,15.7,2,15.2,2.1,16.5,2,6.5,1.4,2.6,0.9,59198,1953,74642,2791
"Cass County, Iowa",5901,165,5.6,1.8,5.8,1.9,11.9,2.5,10.6,2.8,14,2.4,19.6,3.1,14.6,3,10.9,2.2,3.7,1.2,3.4,1.6,52005,4156,68011,5316
"Cedar County, Iowa",7472,179,3.2,1,4.1,1.2,8.1,1.8,6.9,1.5,12.2,1.7,20.3,2.7,18.2,2.9,18.8,2.5,4.8,1.1,3.4,1,69259,2552,77345,2949
"Cerro Gordo County, Iowa",19452,428,4.7,1.4,3.8,1,9.7,1.5,10.6,1.6,15.3,2,20.2,2.2,14.1,1.7,13.4,1.7,3.2,0.7,5,1,56082,1509,74444,3562
"Cherokee County, Iowa",5297,147,4.3,2,5.7,1.7,8.4,2.1,11.4,2.7,13.7,2.6,19.5,3,13.3,2.8,15.1,2.7,3.9,1.2,4.6,1.5,56302,3937,73658,4600
"Chickasaw County, Iowa",5107,141,3,1.1,5.8,1.6,7.7,2,11.1,2.6,13.8,2.2,20.3,3.3,16.5,2.7,15.3,2.5,4.2,1.4,2.3,1,61239,4606,73135,4844
"Clarke County, Iowa",3950,152,10.3,3.3,5.1,2.4,10.3,3.5,7.2,2.9,9.5,3.1,23.4,5.2,14.4,4.2,12.2,3.3,5.5,2.4,2.2,1.1,55078,3913,68120,5375
"Clay County, Iowa",7381,261,5.5,2,6.1,1.9,12.9,3.1,11.4,2.2,13.3,3,17.2,2.8,15.2,2.6,12.8,2.3,3.6,1.3,2.2,1.1,51259,4208,64595,3808
"Clayton County, Iowa",7563,215,4.9,1.7,4,0.8,10.4,1.8,8.8,1.5,16.7,1.9,20.1,2.2,15.5,2.1,13.3,1.6,3.4,1,3,1,56456,4304,69037,2949
"Clinton County, Iowa",19477,368,5.5,1,5.4,1.1,10.2,1.5,12.1,1.7,13.8,1.5,20.1,1.8,13.1,1.5,13.4,1.6,4,0.8,2.3,0.6,52221,1825,67727,2926
"Crawford County, Iowa",6388,149,7.4,2.4,4.4,1.8,9.3,2.8,10.9,2.4,11.8,2.3,19.8,3.5,14.4,3,14.9,3,3.8,1.2,3.4,1.2,54849,3622,78977,13768
"Dallas County, Iowa",35383,446,2.5,0.7,2.1,0.8,5.2,0.9,5.5,1,9.2,1.5,17.6,1.8,14,1.6,20.4,1.7,11.3,1.4,12.2,1.2,88368,4142,115745,3809
"Davis County, Iowa",3182,130,3.8,2,4.5,1.5,7.6,2.5,7.7,2.2,12.4,3.4,17.9,3.3,17.3,3.9,19.4,3.2,5,1.8,4.5,2.3,67627,5448,80314,6442
"Decatur County, Iowa",3242,120,8.2,2.2,6.2,1.9,12.4,2.8,9.2,2.3,15.5,3,24.2,4.3,9.5,2.2,10.4,2.3,2.6,1.5,1.9,1.2,48154,5320,58566,4775
"Delaware County, Iowa",6915,209,3.9,1.3,3.3,1.5,8.2,1.8,9.5,1.9,14,2.7,22.3,2.9,12.9,2.4,17.5,2.5,4.9,1.5,3.6,1.1,63877,4910,83721,10949
"Des Moines County, Iowa",16850,296,6.9,1.3,5.7,1.4,9.5,1.3,11.6,1.8,14.2,1.5,19.2,1.7,11.5,1.4,13.1,1.4,4.5,0.9,3.8,1,51784,1945,71566,4000
"Dickinson County, Iowa",8479,266,2.1,1.1,4.5,1.6,7.6,1.3,10.5,1.9,14.8,2.1,19.5,2.9,15.4,2.8,14.9,2.1,5.1,1.3,5.5,1.3,60975,4405,81582,4906
"Dubuque County, Iowa",38655,410,5.3,0.7,3.4,0.5,8.1,0.9,8.7,1.1,12.9,1,18.2,1.2,16,1.1,17.5,1.3,4.5,0.8,5.4,0.6,64493,1829,85191,3259
"Emmet County, Iowa",4023,181,4.5,1.6,3.2,1.2,11,2.4,8,1.9,17.9,3.3,22.9,3.5,13.3,2.9,12.9,2.4,3.4,1.3,2.9,1.9,56708,4377,69940,6342
"Fayette County, Iowa",8215,175,6.7,1.5,5.5,1.2,11.7,1.9,11.3,1.9,14.9,1.9,19.8,2.3,12.9,1.8,11.9,1.7,2.1,0.6,3.1,0.9,49834,2791,65748,3933
"Floyd County, Iowa",6899,217,6.7,2.3,4,1.5,12,3.1,12.3,3.2,13.2,2.8,18.1,2.8,13.7,2.7,12.7,2,2.7,0.8,4.5,2,51768,4448,68390,4468
"Franklin County, Iowa",4195,162,10.4,3.2,4.3,1.8,6.4,1.8,9.7,2.4,14.9,3.7,22.3,3.8,14.3,3.3,12.7,2.2,3,1.3,2.1,1.3,55630,3882,66475,6313
"Fremont County, Iowa",2952,95,4.1,1.3,4,1.4,11.1,2.2,8.5,2.2,15.4,2.6,20.2,3.1,15,2.5,13.2,2.2,5.2,2.2,3.2,1.3,59688,3771,71670,4026
"Greene County, Iowa",4037,124,5.2,1.8,4.5,1.7,6.8,1.7,13.5,2.2,18.8,3.8,18.7,3.1,13.8,3.3,11.9,2.2,4.8,1.9,2.1,1.1,51098,3681,65933,3789
"Grundy County, Iowa",5164,109,2.6,0.7,2.7,0.8,7.5,1.6,5.8,1.1,13.8,1.9,19.9,2.7,17.9,2.3,17.8,2.4,6.1,1.2,5.9,1.6,71760,2530,89154,4465
"Guthrie County, Iowa",4478,164,4.9,1.2,4.6,1.3,8.6,1.7,9.7,1.9,12.8,2.1,18,2.3,14.3,2.4,16.6,2.7,5.1,1.5,5.4,1.6,62644,4284,79488,5143
"Hamilton County, Iowa",6122,232,4.9,1.7,3.8,1.2,10.2,2.6,7.2,2.2,14.2,2.9,22.7,3.3,15.5,2.9,14.5,2.4,3.9,1.1,3.2,1.1,60248,3809,71735,4206
